Title|Link|Discounted Price|Original Price|Discount
Movie "The Quintessential Quintuplets" Ichika Nakano -Floral Dress Ver.- 1/7 Complete Figure (SHIBUYA SCRAMBLE FIGURE)|https://www.amiami.com/eng/detail/?gcode=FIGURE-153984|https://www.amiami.com/eng/detail/?gcode=FIGURE-153984|29,700 JPY|30.0%
A Certain Magical Index Misaka 10032 1/7 scale figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-152773|https://www.amiami.com/eng/detail/?gcode=FIGURE-152773|22,000 JPY|30.0%
[AmiAmi Exclusive Bonus] Ayakashi Triangle Matsuri Kazamaki 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-157833|https://www.amiami.com/eng/detail/?gcode=FIGURE-157833|19,800 JPY|30.0%
Fox Spirit Matchmaker Susu Tushan Hongchenqianyuan Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-155588|https://www.amiami.com/eng/detail/?gcode=FIGURE-155588|22,880 JPY|10.01%
Azur Lane Shimakaze The Island Wind Rests Ver. Regular Edition 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-169191|https://www.amiami.com/eng/detail/?gcode=FIGURE-169191|18,700 JPY|3.05%
Promare Lio Fotia 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-168743|https://www.amiami.com/eng/detail/?gcode=FIGURE-168743|16,500 JPY|16.0%
Houkai Gakuen Femirins Little Devil Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-157482|https://www.amiami.com/eng/detail/?gcode=FIGURE-157482|16,500 JPY|20.0%
"Movie Jujutsu Kaisen 0" Suguru Geto 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-161958|https://www.amiami.com/eng/detail/?gcode=FIGURE-161958|33,800 JPY|11.3%
Love Live! School Idol Festival Yoshiko Tsushima 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-153347|https://www.amiami.com/eng/detail/?gcode=FIGURE-153347|25,080 JPY|20.33%
[AmiAmi Exclusive Bonus] Girls' Frontline ZB-26 Nook of Ephemeral Dreams Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-152084|https://www.amiami.com/eng/detail/?gcode=FIGURE-152084|22,880 JPY|17.0%
Milk Time - Yuu 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-168875|https://www.amiami.com/eng/detail/?gcode=FIGURE-168875|23,100 JPY|10.0%
Summer Time Rendering Shinpei Ajiro 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-170525|https://www.amiami.com/eng/detail/?gcode=FIGURE-170525|16,800 JPY|10.0%
Long Xiaoling Xiang Long He Sui Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165929|https://www.amiami.com/eng/detail/?gcode=FIGURE-165929|15,400 JPY|10.0%
THE IDOLM@STER Cinderella Girls Nao Kamiya Ichijin no Jounetsu Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-121319|https://www.amiami.com/eng/detail/?gcode=FIGURE-121319|19,580 JPY|30.64%
takt op. Destiny Titan 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147281|https://www.amiami.com/eng/detail/?gcode=FIGURE-147281|28,600 JPY|30.14%
Touhou Project Koishi Komeiji illustration by Mahiro Miyase 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-170210|https://www.amiami.com/eng/detail/?gcode=FIGURE-170210|24,860 JPY|10.02%
KDcolle Love Live! Nijigasaki High School Idol Club Karin Asaka SUPER NOVA ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173412|https://www.amiami.com/eng/detail/?gcode=FIGURE-173412|19,800 JPY|10.0%
Hell's Paradise: Jigokuraku Gabimaru 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-154014|https://www.amiami.com/eng/detail/?gcode=FIGURE-154014|22,000 JPY|20.0%
Yoga Shoujo illustration by Kinku 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-169347|https://www.amiami.com/eng/detail/?gcode=FIGURE-169347|8,800 JPY|3.41%
Princess Connect! Re: Dive Pecorine Star 6 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-135912|https://www.amiami.com/eng/detail/?gcode=FIGURE-135912|29,920 JPY|30.0%
Azur Lane Emanuele Pessagno Backstage Blunders Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165323|https://www.amiami.com/eng/detail/?gcode=FIGURE-165323|22,880 JPY|20.0%
"That Time I Got Reincarnated as a Slime" Milim Nava -Dragonoid Dragon Form Version- 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-160187|https://www.amiami.com/eng/detail/?gcode=FIGURE-160187|38,500 JPY|20.0%
BD Alya Sometimes Hides Her Feelings in Russian Vol.2 [Completely Limited Production Edition w/Yuki Suo Swimsuit ver. 1/7 Figure]|https://www.amiami.com/eng/detail/?gcode=MED-DVD2-56734|https://www.amiami.com/eng/detail/?gcode=MED-DVD2-56734|36,300 JPY|30.0%
KDcolle YOHANE THE PARHELION -SUNSHINE in the MIRROR- Yohane 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165709|https://www.amiami.com/eng/detail/?gcode=FIGURE-165709|22,000 JPY|12.0%
Yuru Camp Rin Shima Look What I Bought Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-167618|https://www.amiami.com/eng/detail/?gcode=FIGURE-167618|24,178 JPY|7.02%
THE IDOLM@STER SHINY COLORS Fuyuko Mayuzumi Neon Light Romancer Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-132161|https://www.amiami.com/eng/detail/?gcode=FIGURE-132161|18,800 JPY|20.0%
"Jujutsu Kaisen" Panda 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-158449|https://www.amiami.com/eng/detail/?gcode=FIGURE-158449|29,700 JPY|50.0%
"GUILTY GEAR -STRIVE-" Bridget 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-160174|https://www.amiami.com/eng/detail/?gcode=FIGURE-160174|29,150 JPY|20.0%
KDcolle Love Live! Nijigasaki High School Idol Club Ai Miyashita SUPER NOVA ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173413|https://www.amiami.com/eng/detail/?gcode=FIGURE-173413|19,800 JPY|10.0%
Amamiya-sensei 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-169248|https://www.amiami.com/eng/detail/?gcode=FIGURE-169248|22,000 JPY|15.0%
Yuri Is My Job! Mitsuki Ayanokoji 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-154315|https://www.amiami.com/eng/detail/?gcode=FIGURE-154315|19,140 JPY|30.0%
Reina 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-162882|https://www.amiami.com/eng/detail/?gcode=FIGURE-162882|28,600 JPY|10.0%
TV Anime "The Quintessential Quintuplets SS" "Yotsuba Nakano Angel ver." 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173025|https://www.amiami.com/eng/detail/?gcode=FIGURE-173025|29,700 JPY|20.0%
Yuri Is My Job! Hime Shirasagi 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-154316|https://www.amiami.com/eng/detail/?gcode=FIGURE-154316|19,140 JPY|30.0%
THE IDOLM@STER Cinderella Girls Yoshino Yorita [Harube to Sakuya] =Repackage Edition= 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-149843|https://www.amiami.com/eng/detail/?gcode=FIGURE-149843|19,800 JPY|15.0%
Sword Art Online Alicization War of Underworld 1/7 Asuna Yuuki Button-up Shirt Kirito Color ver.|https://www.amiami.com/eng/detail/?gcode=FIGURE-172698|https://www.amiami.com/eng/detail/?gcode=FIGURE-172698|17,820 JPY|4.04%
THE IDOLM@STER Million Live! Serika Hakozaki Pure Present ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-124268|https://www.amiami.com/eng/detail/?gcode=FIGURE-124268|19,800 JPY|12.02%
To Love-Ru Darkness Mikan Yuuki Swimsuit Style 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-158121|https://www.amiami.com/eng/detail/?gcode=FIGURE-158121|19,800 JPY|8.0%
My Master Has No Tail Daikokutei Mameda 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147547|https://www.amiami.com/eng/detail/?gcode=FIGURE-147547|29,920 JPY|30.0%
THE WITCHER BISHOUJO The Witcher Geralt 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-155846|https://www.amiami.com/eng/detail/?gcode=FIGURE-155846|22,000 JPY|25.0%
MAIDMADE The Melancholy of Haruhi Suzumiya Yuki Nagato 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-156622|https://www.amiami.com/eng/detail/?gcode=FIGURE-156622|29,900 JPY|17.06%
My Master Has No Tail Daikokutei Bunko 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147548|https://www.amiami.com/eng/detail/?gcode=FIGURE-147548|29,920 JPY|30.0%
ARTFX Star Wars / Phantom Menace Darth Maul Nightbrother 1/7 Easy Assembly Kit|https://www.amiami.com/eng/detail/?gcode=FIGURE-168669|https://www.amiami.com/eng/detail/?gcode=FIGURE-168669|24,200 JPY|15.0%
[Exclusive Sale] YuNi -Black Dress ver.- Acrylic Strap Set 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-055460|https://www.amiami.com/eng/detail/?gcode=FIGURE-055460|15,300 JPY|30.2%
That Time I Got Reincarnated as a Slime Milim Nava -Shutsugeki nano da!- 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-134389|https://www.amiami.com/eng/detail/?gcode=FIGURE-134389|21,890 JPY|20.01%
[Exclusive Sale] YuNi -Black Dress ver.- 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-055459|https://www.amiami.com/eng/detail/?gcode=FIGURE-055459|14,800 JPY|30.0%
[AmiAmi Exclusive Bonus] [Exclusive Sale] THE IDOLM@STER Cinderella Girls Yukimi Sajo [Taiyou no Enogubako]+ 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-127903|https://www.amiami.com/eng/detail/?gcode=FIGURE-127903|17,600 JPY|20.0%
BD Date A Live V Blu-ray BOX First Vol. Limited Production Edition w/Mio Takamiya Summer One-piece Dress ver. 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=MED-DVD2-55939|https://www.amiami.com/eng/detail/?gcode=MED-DVD2-55939|41,800 JPY|40.0%
Riana illustration by Riichu 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-164694|https://www.amiami.com/eng/detail/?gcode=FIGURE-164694|19,250 JPY|3.01%
[Exclusive Sale] THE IDOLM@STER Cinderella Girls Yukimi Sajo [Taiyou no Enogubako]+ 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-127902|https://www.amiami.com/eng/detail/?gcode=FIGURE-127902|17,600 JPY|20.57%
The Country of Great Treasure Sui Yin 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-132083|https://www.amiami.com/eng/detail/?gcode=FIGURE-132083|24,200 JPY|10.0%
[Bonus] Azur Lane New Jersey Snow-White Ceremony Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-156662-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-156662-R|43,780 JPY|16.67%
Frieren: Beyond Journey's End Frieren 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-161536-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-161536-R|3,135 JPY|20.89%
Blue Archive Ichinose Asuna (Bunny Girl) 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-146623-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-146623-R|24,800 JPY|38.79%
[Bonus] Colors:BLUE 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-142216-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-142216-R|23,100 JPY|61.13%
Azur Lane St. Louis Luxurious Wheels Still Illustration Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165738-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-165738-R|19,800 JPY|0.1%
Azur Lane Bremerton Hot Training 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-138681-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-138681-R|19,800 JPY|52.12%
Toridamono Original Mira 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-164278-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-164278-R|23,980 JPY|40.03%
[Bonus] Azur Lane Prinz Eugen Final Lap Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-163668-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-163668-R|23,980 JPY|43.37%
Meido-Busou: Javelin 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-142564-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-142564-R|34,100 JPY|35.25%
Goblin Slayer Sword Maiden 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-144050-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-144050-R|24,200 JPY|14.13%
Azur Lane Bremerton Kung Fu Cruiser Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-153747-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-153747-R|27,280 JPY|40.69%
Azur Lane Formidable 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-134478-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-134478-R|34,980 JPY|36.65%
Blue Archive Karin Kakudate (Bunny Girl) Game Playing Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-164274-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-164274-R|22,000 JPY|22.36%
MX-chan 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-149126-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-149126-R|28,800 JPY|39.06%
Pleiades Agano design by Grizzry Panda 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-171183-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-171183-R|28,600 JPY|15.1%
Fate/Grand Order Rider/Altria Pendragon [Alter] 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-060285-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-060285-R|19,800 JPY|9.19%
[Bonus] Azur Lane Enterprise Wind Catcher Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-160312-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-160312-R|25,300 JPY|16.4%
Genshin Impact "Astral Reflection" Mona 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-129639-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-129639-R|19,360 JPY|26.39%
Azur Lane Atago & Takao Race Queen Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147280-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-147280-R|40,480 JPY|46.69%
DreamTech Super Sonico [White Swimsuit style] 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-140238-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-140238-R|18,480 JPY|18.61%
Azur Lane St. Louis Light Equipment Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-058748-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-058748-R|16,280 JPY|39.31%
Super Sonico 10th Merry Christmas! 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-149078-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-149078-R|23,650 JPY|41.01%
Atelier Ryza 2: Lost Legends & the Secret Fairy Ryza (Reisalin Stout) Changing Clothes mode 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-144804-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-144804-R|21,780 JPY|61.16%
Azur Lane Baltimore 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-136252-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-136252-R|34,980 JPY|61.18%
DreamTech High School D x D HERO Rias Gremory [Bikini style] 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-162025-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-162025-R|17,600 JPY|5.4%
Atelier Ryza 3: Alchemist of the End & the Secret Key - Ryza (Reisalin Stout) 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-148697-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-148697-R|26,378 JPY|47.76%
Azur Lane Atago Weirdly Beautiful Max Speed Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147278-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-147278-R|20,680 JPY|28.53%
Azur Lane Azuma Soft Voice of Spring Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-145753-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-145753-R|31,680 JPY|64.71%
Xenoblade Chronicles 2 - Mythra 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-038548-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-038548-R|20,166 JPY|5.39%
Blue Archive Hina (Swimsuit) 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-168551-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-168551-R|21,900 JPY|35.3%
Atelier Ryza 2: Lost Legends & the Secret Fairy Ryza (Reisalin Stout) Swimsuit Ver. 1/7 Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-136915-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-136915-R|16,900 JPY|52.78%
Blue Archive Asuna Ichinose (Bunny Girl) Game Playing Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-150878-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-150878-R|22,000 JPY|13.45%
Azur Lane Honolulu Light Armor ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-137635-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-137635-R|21,780 JPY|58.77%
Julia design by Uodenim 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-135936-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-135936-R|24,980 JPY|62.17%
Azur Lane Prinz Eugen 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-146490-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-146490-R|44,880 JPY|60.78%
Fate/Grand Order Berserker/Musashi Miyamoto 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-128432-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-128432-R|21,780 JPY|46.37%
Azur Lane Sirius Blue Waves and Clouds Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-123643-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-123643-R|23,980 JPY|26.69%
[Bonus] Honkai Impact 3rd Elysia Herrscher of Human: Ego Because of You Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-162439-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-162439-R|34,760 JPY|13.46%
Darkstalkers Bishoujo Darkstalkers Morrigan 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-131176-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-131176-R|14,300 JPY|10.35%
Fate/Grand Order Avenger Jeanne d'Arc (Alter) 1/7 Complete Figure [Aniplex Plus Exclusive]|https://www.amiami.com/eng/detail/?gcode=FIGURE-041646-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-041646-R|17,315 JPY|25.21%
Character Vocal Series 03. Megurine Luka Tony ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIG-MOE-5417-R|https://www.amiami.com/eng/detail/?gcode=FIG-MOE-5417-R|9,219 JPY|4.76%
Blue Archive "Arona" 1/7 Complete Figure AmiAmi Limited Edition|https://www.amiami.com/eng/detail/?gcode=FIGURE-146352-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-146352-R|23,650 JPY|42.28%
My Dress-Up Darling Marin Kitagawa 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-166262-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-166262-R|16,800 JPY|10.0%
[Bonus] Genshin Impact Kamisato Ayaka Frostflake Heron Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-154909-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-154909-R|24,200 JPY|25.7%
Atelier Ryza: Ever Darkness & the Secret Hideout Lila Swimsuit Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-127796-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-127796-R|20,680 JPY|49.47%
TV Anime "My Dress-Up Darling" Marin Kitagawa Swimsuit Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-156305-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-156305-R|13,900 JPY|1.08%
[Bonus] Honkai: Star Rail Fu Xuan 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165812-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-165812-R|24,970 JPY|7.97%
Girls' Frontline ST AR-15 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-126632-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-126632-R|23,800 JPY|33.82%
SNK Bishoujo Mai Shiranui -THE KING OF FIGHTERS '98- 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-135696-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-135696-R|14,300 JPY|20.0%
Atelier Ryza 2: Lost Legends & the Secret Fairy Ryza (Reisalin Stout) 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-121609-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-121609-R|22,880 JPY|40.65%
Blue Archive Mari 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165238-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-165238-R|23,900 JPY|21.84%
Azur Lane Belfast Iridescent Rosa Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-128680-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-128680-R|23,980 JPY|59.88%
TV Anime "My Dress-Up Darling" Marin Kitagawa Swimsuit Ver. 1/7 Complete Figure (ANIPLEX+ Exclusive)|https://www.amiami.com/eng/detail/?gcode=FIGURE-164283-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-164283-R|22,000 JPY|6.0%
[AmiAmi Exclusive Bonus] Girls' Frontline UKM-2000 Soda Tale 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-152035-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-152035-R|29,800 JPY|39.66%
Hololive Production Shirogane Noel Swimsuit Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-150586-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-150586-R|19,800 JPY|41.52%
Love Live! School Idol Festival - Kotori Minami 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-010088-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-010088-R|15,180 JPY|69.04%
Azur Lane Shinano: Dreams of the Hazy Moon 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165912-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-165912-R|34,700 JPY|13.17%
High School D x D HERO Akeno Himejima Lingerie Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-171456-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-171456-R|17,050 JPY|29.74%
Azur Lane Illustrious Maiden Lily's Radiance Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-141550-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-141550-R|27,280 JPY|59.53%
Comic Aun - illustrated by Inuburo "Tae Kokuten" 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-008718-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-008718-R|10,780 JPY|21.34%
Azur Lane Jean Bart Dress Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-123683-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-123683-R|18,700 JPY|42.35%
Fate/Grand Order Saber/Katsushika Hokusai 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-131727-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-131727-R|29,800 JPY|42.82%
Hatsune Miku 39's Special Day 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-152052-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-152052-R|35,200 JPY|20.51%
Azur Lane Atago Summer March Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-045661-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-045661-R|19,580 JPY|38.82%
Re:ZERO -Starting Life in Another World- Frozen Emilia -Crystal Dress Ver- 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-126503-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-126503-R|36,300 JPY|17.13%
Azur Lane Agir Light Equipment Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-146070-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-146070-R|26,180 JPY|53.25%
Evangelion: 3.0+1.0 Thrice Upon a Time Asuka Langley Shikinami [Last Mission] 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-126266-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-126266-R|16,720 JPY|25.96%
Azur Lane Honolulu [Among the Stalls] 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147673-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-147673-R|31,900 JPY|68.75%
DreamTech THE IDOLM@STER Cinderella Girls [Swimsuit Commerce] Riamu Yumemi 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-127431-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-127431-R|17,930 JPY|12.16%
Fate/Grand Order Rider/Altria Pendragon [Alter] 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-050383-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-050383-R|16,280 JPY|19.59%
Azur Lane Formidable Barairo no Seiten Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165967-R|https://www.amiami.com/eng/detail/?gcode=FIGURE-165967-R|26,950 JPY|26.6%
